"specRPName","errorExample","errorExampleReasonFromValidation","errorExampleReasonFromMock"
"advisor",,"INVALID_FORMAT",""
"advisor","","XMS_EXAMPLE_NOTFOUND_ERROR",""
"alertsmanagement","","XMS_EXAMPLE_NOTFOUND_ERROR",""
"analysisservices","","XMS_EXAMPLE_NOTFOUND_ERROR",""
"apimanagement","specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/examples/ApiManagementListContentTypes.json","","Example response not match with schema"
"apimanagement","specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/examples/ApiManagementGetContentType.json","","Example response not match with schema"
"apimanagement","specification/apimanagement/resource-manager/Microsoft.ApiManagement/stable/2021-08-01/examples/ApiManagementCreateContentType.json","","Example response not match with schema"
"appconfiguration","","","XMS_EXAMPLE_NOTFOUND_ERROR"
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2015-05-01/examples/AnnotationsList.json","","Example response not match with schema"
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2015-05-01/examples/WorkItemConfigsGet.json","","Example response not match with schema"
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2015-05-01/examples/WorkItemConfigsGet.json","INVALID_TYPE",""
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2015-05-01/examples/WorkItemConfigsGet.json","INVALID_TYPE",""
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2015-05-01/examples/WorkItemConfigsGet.json","READONLY_PROPERTY_NOT_ALLOWED_IN_REQUEST",""
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2015-05-01/examples/WorkItemConfigsGet.json","READONLY_PROPERTY_NOT_ALLOWED_IN_REQUEST",""
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2015-05-01/examples/WebTestLocationsList.json","","Example response not match with schema"
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2020-11-20/examples/WorkbookTemplatesList.json","","Example response not match with schema"
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2021-03-08/examples/MyWorkbooksList.json","","Example request has invalid type value"
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2021-03-08/examples/MyWorkbooksList.json","","Example request has invalid type value"
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2021-03-08/examples/MyWorkbookGet.json","","Example response not match with schema"
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2021-03-08/examples/MyWorkbookAdd.json","","Example request not match with schema"
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2021-03-08/examples/MyWorkbookUpdate.json","","Example request not match with schema"
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2021-08-01/examples/WorkbooksList2.json","","Example request has invalid type value"
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2021-08-01/examples/WorkbooksList.json","","Example request has invalid type value"
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2020-02-02/examples/ComponentsList.json","","Example response not match with schema"
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2020-02-02/examples/ComponentsListByResourceGroup.json","","Example response not match with schema"
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2020-02-02/examples/ComponentsGet.json","","Example response not match with schema"
"applicationinsights","specification/applicationinsights/resource-manager/Microsoft.Insights/stable/2020-02-02/examples/ComponentsCreate.json","","Example response not match with schema"
"attestation","specification/attestation/resource-manager/Microsoft.Attestation/stable/2020-10-01/examples/Operations_List.json","","Example response not match with schema"
"attestation","specification/attestation/resource-manager/Microsoft.Attestation/stable/2020-10-01/examples/Create_AttestationProvider.json","","Example request miss required property"
"attestation","specification/attestation/resource-manager/Microsoft.Attestation/stable/2020-10-01/examples/Get_AttestationProvidersListByResourceGroup.json","","Wrong operaion api version"
"attestation","specification/attestation/resource-manager/Microsoft.Attestation/stable/2020-10-01/examples/AttestationProviderListPrivateEndpointConnections.json","","Wrong operaion api version"
"attestation","specification/attestation/resource-manager/Microsoft.Attestation/stable/2020-10-01/examples/AttestationProviderPutPrivateEndpointConnection.json","","Wrong operaion api version"
"attestation","specification/attestation/resource-manager/Microsoft.Attestation/stable/2020-10-01/examples/AttestationProviderDeletePrivateEndpointConnection.json","","Wrong operaion api version"
"authorization","","","XMS_EXAMPLE_NOTFOUND_ERROR"
"automation","specification/attestation/resource-manager/Microsoft.Attestation/stable/2020-10-01/examples/AttestationProviderDeletePrivateEndpointConnection.json","RESPONSE_SCHEMA_NOT_IN_SPEC",""
"automation","","XMS_EXAMPLE_NOTFOUND_ERROR",""
"azure-kusto","specification/azure-kusto/resource-manager/Microsoft.Kusto/stable/2021-08-27/examples/KustoDatabasesCreateOrUpdate.json","","Example request has invalid type value"
"azure-kusto","specification/azure-kusto/resource-manager/Microsoft.Kusto/stable/2021-08-27/examples/KustoDatabasesUpdate.json","","Example request has invalid type value"
"azure-kusto","specification/azure-kusto/resource-manager/Microsoft.Kusto/stable/2021-08-27/examples/KustoDataConnectionValidationAsync.json","","Example request not match with schema"
